nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
50,0.0,8,euclidean,500,80,0.1,euclidean,24,0.5557971596717834,0.18781965124194872,0.36797750842983473,37.547
50,0.0,16,euclidean,300,80,0.1,euclidean,34,0.6295817494392395,0.26436139573041945,0.36522035370882006,38.088
50,0.0,16,euclidean,300,80,0.0,euclidean,34,0.6295817494392395,0.26436139573041945,0.36522035370882006,35.646
50,0.0,16,euclidean,300,80,0.2,euclidean,34,0.6295817494392395,0.26436139573041945,0.36522035370882006,37.241
120,0.0,16,euclidean,500,80,0.2,euclidean,25,0.5722508430480957,0.2083296968004329,0.3639211462476628,52.645
120,0.0,16,euclidean,500,80,0.0,euclidean,25,0.5722508430480957,0.2083296968004329,0.3639211462476628,53.599
120,0.0,16,euclidean,500,80,0.1,euclidean,25,0.5722508430480957,0.2083296968004329,0.3639211462476628,52.852
50,0.0,24,euclidean,300,120,0.2,euclidean,29,0.5881761908531189,0.22489483146851927,0.3632813593845996,40.765
50,0.0,24,euclidean,300,120,0.0,euclidean,29,0.5881761908531189,0.22489483146851927,0.3632813593845996,40.859
50,0.0,24,euclidean,300,120,0.1,euclidean,29,0.5881761908531189,0.22489483146851927,0.3632813593845996,44.132
80,0.0,16,euclidean,300,50,0.2,euclidean,32,0.590434730052948,0.22805425125242193,0.36238047880052604,39.072
120,0.0,8,euclidean,500,80,0.0,euclidean,25,0.5788538455963135,0.21658608109759292,0.36226776449872056,49.728
120,0.0,8,euclidean,500,80,0.2,euclidean,25,0.5788538455963135,0.21658608109759292,0.36226776449872056,51.177
120,0.0,8,euclidean,500,80,0.1,euclidean,25,0.5788538455963135,0.21658608109759292,0.36226776449872056,54.524
80,0.0,16,euclidean,300,50,0.1,euclidean,33,0.5994461178779602,0.23947005533348462,0.35997606254447556,39.019
80,0.0,16,euclidean,300,50,0.0,euclidean,33,0.5994461178779602,0.23947005533348462,0.35997606254447556,39.537
50,0.0,24,euclidean,500,80,0.1,euclidean,26,0.5859665274620056,0.2278796976732008,0.3580868297888048,41.634
50,0.0,24,euclidean,500,80,0.2,euclidean,26,0.5859665274620056,0.2278796976732008,0.3580868297888048,42.563
50,0.0,24,euclidean,500,80,0.0,euclidean,26,0.5859665274620056,0.2278796976732008,0.3580868297888048,40.338
50,0.0,8,euclidean,300,80,0.1,euclidean,35,0.6223999857902527,0.26432648501457523,0.35807350077567746,31.804
50,0.0,8,euclidean,300,80,0.2,euclidean,35,0.6223999857902527,0.26432648501457523,0.35807350077567746,32.319
50,0.0,8,euclidean,300,80,0.0,euclidean,35,0.6223999857902527,0.26432648501457523,0.35807350077567746,31.867
50,0.0,24,euclidean,500,120,0.1,euclidean,24,0.588153064250946,0.2302187156347641,0.35793434861618195,42.298
50,0.0,24,euclidean,500,120,0.0,euclidean,24,0.588153064250946,0.2302187156347641,0.35793434861618195,40.668
50,0.0,24,euclidean,500,120,0.2,euclidean,24,0.588153064250946,0.2302187156347641,0.35793434861618195,41.882
50,0.0,16,euclidean,300,120,0.0,euclidean,29,0.6028657555580139,0.24495103772102847,0.3579147178369855,41.017
50,0.0,16,euclidean,300,120,0.2,euclidean,29,0.6028657555580139,0.24495103772102847,0.3579147178369855,39.726
50,0.0,16,euclidean,300,120,0.1,euclidean,29,0.6028657555580139,0.24495103772102847,0.3579147178369855,41.608
80,0.0,24,euclidean,300,50,0.2,euclidean,32,0.5850905776023865,0.2276353226622912,0.3574552549400953,45.683
120,0.05,24,euclidean,500,50,0.2,euclidean,22,0.5670017600059509,0.2101625093822549,0.35683925062369604,56.389
120,0.05,24,euclidean,500,50,0.1,euclidean,22,0.5670017600059509,0.2101625093822549,0.35683925062369604,55.816
120,0.05,24,euclidean,500,50,0.0,euclidean,22,0.5670017600059509,0.2101625093822549,0.35683925062369604,58.027
50,0.0,24,euclidean,300,80,0.2,euclidean,34,0.6360313892364502,0.28029813751330973,0.35573325172314046,36.809
50,0.0,24,euclidean,300,80,0.1,euclidean,34,0.6360313892364502,0.28029813751330973,0.35573325172314046,36.814
50,0.0,24,euclidean,300,80,0.0,euclidean,34,0.6360313892364502,0.28029813751330973,0.35573325172314046,35.517
80,0.0,24,euclidean,300,50,0.1,euclidean,33,0.5910112857818604,0.2357695194539964,0.355241766327864,46.683
80,0.0,24,euclidean,300,50,0.0,euclidean,33,0.5910112857818604,0.2357695194539964,0.355241766327864,44.955
80,0.0,24,euclidean,200,80,0.2,euclidean,44,0.6319745182991028,0.27745291417200507,0.3545216041270977,41.778
80,0.0,16,euclidean,500,50,0.1,euclidean,27,0.5939727425575256,0.23962715355478365,0.354345589002742,38.838
80,0.0,16,euclidean,500,50,0.2,euclidean,27,0.5939727425575256,0.23962715355478365,0.354345589002742,38.431
80,0.0,16,euclidean,500,50,0.0,euclidean,27,0.5939727425575256,0.23962715355478365,0.354345589002742,40.492
120,0.0,24,euclidean,500,120,0.2,euclidean,24,0.5710204243659973,0.2167257239609698,0.35429470040502753,52.879
120,0.0,24,euclidean,500,120,0.0,euclidean,24,0.5710204243659973,0.2167257239609698,0.35429470040502753,54.024
120,0.0,24,euclidean,500,120,0.1,euclidean,24,0.5710204243659973,0.2167257239609698,0.35429470040502753,53.412
120,0.0,16,euclidean,300,50,0.0,euclidean,37,0.6220138072967529,0.26802702089406344,0.3539867864026895,47.047
120,0.0,16,euclidean,300,50,0.1,euclidean,37,0.6220138072967529,0.26802702089406344,0.3539867864026895,45.547
50,0.0,16,euclidean,500,120,0.0,euclidean,24,0.5679352879524231,0.21414233098849692,0.3537929569639262,43.803
50,0.0,16,euclidean,500,120,0.1,euclidean,24,0.5679352879524231,0.21414233098849692,0.3537929569639262,43.553
50,0.0,16,euclidean,500,120,0.2,euclidean,24,0.5679352879524231,0.21414233098849692,0.3537929569639262,41.62
80,0.0,8,euclidean,300,80,0.2,euclidean,36,0.6402469873428345,0.2870184503133237,0.3532285370295108,34.19
120,0.0,16,euclidean,300,50,0.2,euclidean,32,0.6016994118690491,0.25069385047740406,0.351005561391645,50.003
80,0.0,8,euclidean,300,80,0.0,euclidean,37,0.6398890614509583,0.28907818254813317,0.3508108789028251,33.191
80,0.0,8,euclidean,300,80,0.1,euclidean,37,0.6398890614509583,0.28907818254813317,0.3508108789028251,34.801
50,0.0,16,euclidean,300,50,0.0,euclidean,38,0.6304832100868225,0.2805250571662972,0.3499581529205253,36.475
50,0.0,16,euclidean,300,50,0.1,euclidean,38,0.6304832100868225,0.2805250571662972,0.3499581529205253,34.93
120,0.05,16,euclidean,500,50,0.1,euclidean,24,0.580864429473877,0.23102166209918135,0.3498427673746956,44.905
120,0.05,16,euclidean,500,50,0.0,euclidean,24,0.580864429473877,0.23102166209918135,0.3498427673746956,52.98
120,0.05,16,euclidean,500,50,0.2,euclidean,24,0.580864429473877,0.23102166209918135,0.3498427673746956,48.534
80,0.0,8,euclidean,300,50,0.2,euclidean,33,0.5940766334533691,0.2444971984150535,0.3495794350383157,38.192
80,0.0,16,euclidean,500,120,0.1,euclidean,25,0.5636084079742432,0.21492782209499206,0.3486805858792511,44.624
80,0.0,16,euclidean,500,120,0.0,euclidean,25,0.5636084079742432,0.21492782209499206,0.3486805858792511,44.697
80,0.0,16,euclidean,500,120,0.2,euclidean,25,0.5636084079742432,0.21492782209499206,0.3486805858792511,46.718
80,0.0,16,euclidean,500,80,0.1,euclidean,23,0.5256637334823608,0.17706715076192636,0.3485965827204345,45.158
80,0.0,16,euclidean,500,80,0.0,euclidean,23,0.5256637334823608,0.17706715076192636,0.3485965827204345,48.067
80,0.0,16,euclidean,500,80,0.2,euclidean,23,0.5256637334823608,0.17706715076192636,0.3485965827204345,47.396
80,0.0,16,euclidean,300,80,0.1,euclidean,32,0.6182218194007874,0.2702438513501719,0.3479779680506154,37.257
80,0.0,16,euclidean,300,80,0.2,euclidean,32,0.6182218194007874,0.2702438513501719,0.3479779680506154,36.753
80,0.0,16,euclidean,300,80,0.0,euclidean,32,0.6182218194007874,0.2702438513501719,0.3479779680506154,38.113
