nn,md,nc,umap_metric,mcs,ms,eps,hdb_metric,Clusters,Silhouette,NoiseRatio,Score,TimeSec
10,0.0,8,euclidean,50,20,0.0,euclidean,31,0.6646363139152527,0.22257518000847099,0.4420611339067817,0.388
20,0.0,4,euclidean,50,5,0.0,euclidean,34,0.6147293448448181,0.17301990681914442,0.4417094380256737,0.345
20,0.0,4,euclidean,50,5,0.1,euclidean,34,0.6147293448448181,0.17301990681914442,0.4417094380256737,0.338
10,0.1,16,euclidean,20,20,0.0,euclidean,50,0.6871258020401001,0.24756459127488353,0.4395612107652166,0.492
10,0.1,16,euclidean,20,20,0.1,euclidean,50,0.6871258020401001,0.24756459127488353,0.4395612107652166,0.521
50,0.0,16,euclidean,20,5,0.1,euclidean,56,0.6218335032463074,0.18254976704786108,0.4392837361984463,0.453
50,0.0,16,euclidean,20,5,0.0,euclidean,56,0.6218335032463074,0.18254976704786108,0.4392837361984463,0.511
50,0.0,4,euclidean,20,10,0.1,euclidean,53,0.6714490056037903,0.2331639135959339,0.43828509200785637,0.323
50,0.0,4,euclidean,20,10,0.0,euclidean,53,0.6714490056037903,0.2331639135959339,0.43828509200785637,0.325
50,0.0,16,euclidean,20,20,0.1,euclidean,48,0.6530829071998596,0.2164337145277425,0.4366491926721171,0.462
50,0.0,16,euclidean,20,20,0.0,euclidean,48,0.6530829071998596,0.2164337145277425,0.4366491926721171,0.464
50,0.0,16,euclidean,20,10,0.0,euclidean,54,0.6447607278823853,0.2107157983905125,0.4340449294918728,0.445
50,0.0,16,euclidean,20,10,0.1,euclidean,54,0.6447607278823853,0.2107157983905125,0.4340449294918728,0.45
50,0.0,8,euclidean,20,10,0.0,euclidean,56,0.6512898206710815,0.21833968657348582,0.43295013409759575,0.383
50,0.0,8,euclidean,20,10,0.1,euclidean,56,0.6512898206710815,0.21833968657348582,0.43295013409759575,0.383
10,0.0,8,euclidean,20,50,0.1,euclidean,28,0.7199952006340027,0.28864887759423974,0.43134632303976295,0.384
10,0.0,8,euclidean,20,50,0.0,euclidean,28,0.7199952006340027,0.28864887759423974,0.43134632303976295,0.389
10,0.0,8,euclidean,50,50,0.0,euclidean,28,0.7199952006340027,0.28864887759423974,0.43134632303976295,0.38
10,0.0,8,euclidean,50,50,0.1,euclidean,28,0.7199952006340027,0.28864887759423974,0.43134632303976295,0.386
50,0.0,4,euclidean,20,5,0.0,euclidean,59,0.6363219618797302,0.20775095298602286,0.42857100889370736,0.348
20,0.0,4,euclidean,50,50,0.0,euclidean,28,0.6979352235794067,0.2698009318085557,0.42813429177085105,0.326
20,0.0,4,euclidean,50,50,0.1,euclidean,28,0.6979352235794067,0.2698009318085557,0.42813429177085105,0.321
10,0.1,4,euclidean,20,20,0.1,euclidean,50,0.6872147917747498,0.25921219822109276,0.428002593553657,0.36
10,0.1,4,euclidean,20,20,0.0,euclidean,50,0.6872147917747498,0.25921219822109276,0.428002593553657,0.325
50,0.0,8,euclidean,20,20,0.0,euclidean,50,0.6840732097625732,0.25730622617534943,0.4267669835872238,0.417
50,0.0,8,euclidean,20,20,0.1,euclidean,50,0.6840732097625732,0.25730622617534943,0.4267669835872238,0.373
20,0.1,8,euclidean,20,10,0.0,euclidean,54,0.6208035349845886,0.19462092333756884,0.42618261164701976,0.409
20,0.1,8,euclidean,20,10,0.1,euclidean,54,0.6208035349845886,0.19462092333756884,0.42618261164701976,0.373
20,0.0,16,euclidean,50,50,0.1,euclidean,27,0.687419593334198,0.26387124099957643,0.42354835233462157,0.513
20,0.0,16,euclidean,50,50,0.0,euclidean,27,0.687419593334198,0.26387124099957643,0.42354835233462157,0.514
20,0.0,8,euclidean,50,50,0.0,euclidean,27,0.6927179098129272,0.2702244811520542,0.422493428660873,0.355
20,0.0,8,euclidean,50,50,0.1,euclidean,27,0.6927179098129272,0.2702244811520542,0.422493428660873,0.351
10,0.1,8,euclidean,20,20,0.1,euclidean,51,0.6761547327041626,0.2543413807708598,0.42181335193330277,0.39
10,0.1,8,euclidean,20,20,0.0,euclidean,51,0.6761547327041626,0.2543413807708598,0.42181335193330277,0.374
20,0.0,4,euclidean,20,50,0.0,euclidean,30,0.7243513464927673,0.3026260059296908,0.42172534056307653,0.316
20,0.0,4,euclidean,20,50,0.1,euclidean,30,0.7243513464927673,0.3026260059296908,0.42172534056307653,0.317
20,0.0,16,euclidean,50,5,0.1,euclidean,30,0.5865606665611267,0.16581956797966962,0.4207410985814571,0.482
20,0.0,16,euclidean,50,5,0.0,euclidean,30,0.5865606665611267,0.16581956797966962,0.4207410985814571,0.484
50,0.0,16,euclidean,50,10,0.0,euclidean,29,0.5795736312866211,0.15946632782719186,0.42010730345942926,0.479
50,0.0,16,euclidean,50,10,0.1,euclidean,29,0.5795736312866211,0.15946632782719186,0.42010730345942926,0.48
20,0.0,8,euclidean,20,50,0.0,euclidean,28,0.698263943195343,0.2782719186785261,0.41999202451681694,0.333
20,0.0,8,euclidean,20,50,0.1,euclidean,28,0.698263943195343,0.2782719186785261,0.41999202451681694,0.334
20,0.1,4,euclidean,20,5,0.0,euclidean,62,0.6338927745819092,0.21516306649724692,0.41872970808466226,0.324
20,0.1,4,euclidean,20,5,0.1,euclidean,62,0.6338927745819092,0.21516306649724692,0.41872970808466226,0.33
20,0.1,16,euclidean,20,10,0.0,euclidean,56,0.6385758519172668,0.22130453197797542,0.41727131993929145,0.531
20,0.1,16,euclidean,20,10,0.1,euclidean,56,0.6385758519172668,0.22130453197797542,0.41727131993929145,0.523
50,0.0,8,euclidean,50,5,0.0,euclidean,34,0.5835320949554443,0.1675137653536637,0.41601832960178065,0.409
50,0.0,8,euclidean,50,5,0.1,euclidean,34,0.5835320949554443,0.1675137653536637,0.41601832960178065,0.407
50,0.0,4,euclidean,20,20,0.1,euclidean,51,0.6858513355255127,0.270859805167302,0.4149915303582107,0.315
50,0.0,4,euclidean,20,20,0.0,euclidean,51,0.6858513355255127,0.270859805167302,0.4149915303582107,0.321
50,0.0,8,euclidean,50,10,0.0,euclidean,30,0.5800445675849915,0.16836086404066072,0.4116837035443307,0.408
50,0.0,8,euclidean,50,10,0.1,euclidean,30,0.5800445675849915,0.16836086404066072,0.4116837035443307,0.401
20,0.0,16,euclidean,20,50,0.0,euclidean,29,0.7025025486946106,0.2909783989834816,0.411524149711129,0.494
20,0.0,16,euclidean,20,50,0.1,euclidean,29,0.7025025486946106,0.2909783989834816,0.411524149711129,0.489
20,0.1,8,euclidean,20,5,0.1,euclidean,59,0.6251236200332642,0.21368064379500212,0.41144297623826204,0.379
20,0.1,8,euclidean,20,5,0.0,euclidean,59,0.6251236200332642,0.21368064379500212,0.41144297623826204,0.391
50,0.0,8,euclidean,20,5,0.0,euclidean,60,0.6153818964958191,0.2039390088945362,0.4114428876012829,0.403
50,0.0,8,euclidean,20,5,0.1,euclidean,60,0.6153818964958191,0.2039390088945362,0.4114428876012829,0.39
50,0.0,16,euclidean,50,5,0.0,euclidean,34,0.5844823122024536,0.17450232952138925,0.4099799826810644,0.474
50,0.0,16,euclidean,50,5,0.1,euclidean,34,0.5844823122024536,0.17450232952138925,0.4099799826810644,0.47
50,0.0,4,euclidean,50,20,0.1,euclidean,27,0.6105502843856812,0.20732740364252436,0.4032228807431568,0.349
50,0.0,4,euclidean,50,20,0.0,euclidean,27,0.6105502843856812,0.20732740364252436,0.4032228807431568,0.351
50,0.0,16,euclidean,50,20,0.1,euclidean,28,0.6054527163505554,0.20415078356628547,0.40130193278426995,0.482
50,0.0,16,euclidean,50,20,0.0,euclidean,28,0.6054527163505554,0.20415078356628547,0.40130193278426995,0.514
20,0.1,8,euclidean,50,5,0.0,euclidean,28,0.5700267553329468,0.17386700550614145,0.39615974982680535,0.393
20,0.1,8,euclidean,50,5,0.1,euclidean,28,0.5700267553329468,0.17386700550614145,0.39615974982680535,0.383
20,0.1,4,euclidean,20,10,0.0,euclidean,58,0.6645492315292358,0.2702244811520542,0.3943247503771816,0.299
20,0.1,4,euclidean,20,10,0.1,euclidean,58,0.6645492315292358,0.2702244811520542,0.3943247503771816,0.294
50,0.0,8,euclidean,50,20,0.0,euclidean,28,0.6109983921051025,0.21706903854299026,0.3939293535621123,0.384
50,0.0,8,euclidean,50,20,0.1,euclidean,28,0.6109983921051025,0.21706903854299026,0.3939293535621123,0.384
20,0.1,16,euclidean,20,5,0.1,euclidean,61,0.6238843202590942,0.23041084286319355,0.39347347739590066,0.513
20,0.1,16,euclidean,20,5,0.0,euclidean,61,0.6238843202590942,0.23041084286319355,0.39347347739590066,0.513
20,0.1,8,euclidean,20,20,0.0,euclidean,50,0.6707518696784973,0.2789072426937738,0.3918446269847235,0.377
20,0.1,8,euclidean,20,20,0.1,euclidean,50,0.6707518696784973,0.2789072426937738,0.3918446269847235,0.348
50,0.0,4,euclidean,50,10,0.1,euclidean,33,0.6171563863754272,0.22596357475645912,0.39119281161896813,0.323
50,0.0,4,euclidean,50,10,0.0,euclidean,33,0.6171563863754272,0.22596357475645912,0.39119281161896813,0.324
20,0.1,16,euclidean,50,10,0.1,euclidean,28,0.5418164134025574,0.15099534095722153,0.3908210724453358,0.562
20,0.1,16,euclidean,50,10,0.0,euclidean,28,0.5418164134025574,0.15099534095722153,0.3908210724453358,0.555
20,0.1,8,euclidean,50,10,0.1,euclidean,27,0.5336171984672546,0.14315967810249894,0.3904575203647557,0.391
20,0.1,8,euclidean,50,10,0.0,euclidean,27,0.5336171984672546,0.14315967810249894,0.3904575203647557,0.388
10,0.1,4,euclidean,50,5,0.1,euclidean,33,0.6048858761787415,0.21601016518424396,0.38887571099449747,0.407
10,0.1,4,euclidean,50,5,0.0,euclidean,33,0.6048858761787415,0.21601016518424396,0.38887571099449747,0.367
10,0.1,4,euclidean,50,10,0.1,euclidean,33,0.6275134682655334,0.23951715374841168,0.3879963145171218,0.325
10,0.1,4,euclidean,50,10,0.0,euclidean,33,0.6275134682655334,0.23951715374841168,0.3879963145171218,0.327
10,0.1,16,euclidean,50,20,0.1,euclidean,28,0.6202811002731323,0.23252858958068615,0.3877525106924462,0.499
10,0.1,16,euclidean,50,20,0.0,euclidean,28,0.6202811002731323,0.23252858958068615,0.3877525106924462,0.5
50,0.1,4,euclidean,20,5,0.1,euclidean,55,0.6196748614311218,0.2327403642524354,0.38693449717868644,0.334
50,0.1,4,euclidean,20,5,0.0,euclidean,55,0.6196748614311218,0.2327403642524354,0.38693449717868644,0.371
20,0.1,4,euclidean,20,20,0.1,euclidean,50,0.6794182062149048,0.29267259635747567,0.3867456098574291,0.292
20,0.1,4,euclidean,20,20,0.0,euclidean,50,0.6794182062149048,0.29267259635747567,0.3867456098574291,0.293
50,0.0,4,euclidean,20,50,0.0,euclidean,27,0.6620535850524902,0.2791190173655231,0.38293456768696715,0.327
50,0.0,4,euclidean,20,50,0.1,euclidean,27,0.6620535850524902,0.2791190173655231,0.38293456768696715,0.334
10,0.1,16,euclidean,50,5,0.0,euclidean,32,0.5812253952026367,0.19864464210080474,0.382580753101832,0.509
10,0.1,16,euclidean,50,5,0.1,euclidean,32,0.5812253952026367,0.19864464210080474,0.382580753101832,0.502
20,0.1,16,euclidean,20,20,0.1,euclidean,49,0.6687692999839783,0.2867429055484964,0.38202639443548186,0.514
20,0.1,16,euclidean,20,20,0.0,euclidean,49,0.6687692999839783,0.2867429055484964,0.38202639443548186,0.495
20,0.1,4,euclidean,50,5,0.0,euclidean,31,0.5922779440879822,0.21050402371876323,0.381773920369219,0.32
20,0.1,4,euclidean,50,5,0.1,euclidean,31,0.5922779440879822,0.21050402371876323,0.381773920369219,0.321
10,0.1,8,euclidean,50,5,0.0,euclidean,30,0.5772659778594971,0.19589157136806437,0.3813744064914327,0.401
10,0.1,8,euclidean,50,5,0.1,euclidean,30,0.5772659778594971,0.19589157136806437,0.3813744064914327,0.412
50,0.1,4,euclidean,20,10,0.0,euclidean,52,0.6267845034599304,0.24629394324438797,0.38049056021554245,0.33
50,0.1,4,euclidean,20,10,0.1,euclidean,52,0.6267845034599304,0.24629394324438797,0.38049056021554245,0.334
50,0.0,16,euclidean,50,50,0.1,euclidean,26,0.6637242436408997,0.2856840321897501,0.3780402114511496,0.489
50,0.0,16,euclidean,50,50,0.0,euclidean,26,0.6637242436408997,0.2856840321897501,0.3780402114511496,0.486
10,0.1,16,euclidean,50,10,0.0,euclidean,31,0.5642950534820557,0.18636171113934774,0.3779333423427079,0.491
10,0.1,16,euclidean,50,10,0.1,euclidean,31,0.5642950534820557,0.18636171113934774,0.3779333423427079,0.495
20,0.1,4,euclidean,50,10,0.1,euclidean,30,0.6103358864784241,0.23252858958068615,0.37780729689773795,0.319
20,0.1,4,euclidean,50,10,0.0,euclidean,30,0.6103358864784241,0.23252858958068615,0.37780729689773795,0.286
50,0.1,8,euclidean,50,50,0.0,euclidean,3,0.38130924105644226,0.006776789495976281,0.374532451560466,0.56
50,0.1,8,euclidean,20,50,0.0,euclidean,3,0.38130924105644226,0.006776789495976281,0.374532451560466,0.566
50,0.1,8,euclidean,50,50,0.1,euclidean,3,0.38130924105644226,0.006776789495976281,0.374532451560466,0.572
50,0.1,8,euclidean,20,50,0.1,euclidean,3,0.38130924105644226,0.006776789495976281,0.374532451560466,0.56
10,0.1,8,euclidean,50,10,0.0,euclidean,31,0.5943350195884705,0.22109275730622618,0.3732422622822443,0.414
10,0.1,8,euclidean,50,10,0.1,euclidean,31,0.5943350195884705,0.22109275730622618,0.3732422622822443,0.423
50,0.0,4,euclidean,50,5,0.1,euclidean,32,0.5377368927001953,0.16518424396442186,0.37255264873577343,0.39
50,0.0,4,euclidean,50,5,0.0,euclidean,32,0.5377368927001953,0.16518424396442186,0.37255264873577343,0.376
20,0.1,8,euclidean,50,20,0.1,euclidean,27,0.6013814806938171,0.23062261753494281,0.3707588631588743,0.377
20,0.1,8,euclidean,50,20,0.0,euclidean,27,0.6013814806938171,0.23062261753494281,0.3707588631588743,0.373
50,0.0,4,euclidean,50,50,0.1,euclidean,25,0.6430850028991699,0.2723422278695468,0.3707427750296231,0.354
50,0.0,4,euclidean,50,50,0.0,euclidean,25,0.6430850028991699,0.2723422278695468,0.3707427750296231,0.345
50,0.1,16,euclidean,20,50,0.1,euclidean,3,0.3781032860279083,0.0074121135112240576,0.37069117251668426,0.727
